2010.1	100	100	6.37
2010.2	100	100	7.045
2010.3	100	100	5.765
2010.4	100	100	8.085
2011.1	100	100	8.965
2011.2	100	100	9.33
2011.3	100	100	10.77
2011.4	100	100	11.085
2012.1	100	100	9.25
2012.2	100	100	10.435
2012.3	100	100	11.335
2012.4	100	100	12.125
2013.1	100	100	13.45
2013.2	100	100	13.11
2013.3	100	100	14.77
2013.4	100	100	16.625
2014.1	100	100	19.145
2014.2	100	100	15.905
2014.3	100	100	16.915
2014.4	100	100	15.23
2015.1	100	100	16.12
2015.2	100	100	20.525
2015.3	100	100	25.155
2015.4	100	100	28.42
2016.1	513	"1,116"	30.125
2016.2	857	"1,340"	31.38
2016.3	252	607	37.065
2016.4	749	"1,289"	40.545
2017.1	724	"1,049"	39.785
2017.2	197	694	45.85
2017.3	256	392	50.86
2017.4	"1,856"	"2,187"	51.83
2018.1	"1,629"	"1,990"	66.08
2018.2	"2,534"	"3,063"	74.775
2018.3	"2,883"	"3,792"	88.95
2018.4	"3,027"	"3,872"	87.74
2019.1	"3,561"	"4,415"	79.935
2019.2	"2,625"	"3,170"	93.88
2019.3	"2,134"	"3,212"	97.13
2019.4	"3,268"	"3,944"	87.095
2020.1	"2,535"	"4,059"	96.78
2020.2	"5,243"	"6,133"	109.105
2020.3	"6,331"	"6,256"	152.455
2020.4	"7,222"	"6,377"	162.88
2021.1	0	0	161.245
2021.2	0	0	166.74
2021.3	0	0	177
2021.4	0	0	166.38
amazon	총당기순이익(백만USD)	영업이익(백만USD)	주가 평균(고가와 저가의 평균)USD
