2010.1,399,440,16300
2010.2,427,501,16900
2010.3,445,486,15950
2010.4,342,301,15290
2011.1,278,294,19220
2011.2,350,375,18010
2011.3,344,425,17050
2011.4,402,469,17660
2012.1,504,568,21410
2012.2,519,688,26500
2012.3,656,812,24250
2012.4,703,835,26660
2013.1,715,877,29550
2013.2,777,953,30210
2013.3,824,1016,25610
2013.4,730,831,28620
2014.1,757,848,26270
2014.2,625,718,27540
2014.3,422,406,26900
2014.4,534,528,23280
2015.1,462,597,26820
2015.2,575,689,28530
2015.3,545,739,24860
2015.4,322,614,25040
2016.1,525,667,23480
2016.2,584,814,25500
2016.3,453,520,29690
2016.4,708,922,32100
2017.1,768,989,37770
2017.2,1105,1406,42940
2017.3,1119,1453,49050
2017.4,1225,1514,53790
2018.1,1168,1564,50450
2018.2,1104,1486,50280
2018.3,1315,1757,46125
2018.4,846,1080,43600
2019.1,504,623,41950
2019.2,518,659,45700
2019.3,628,777,45950
2019.4,522,716,49925
2020.1,488,644,58700
2020.2,555,814,48675
2020.3,936,1235,56250
2020.4,660,904,59050
2021.1,714,938,88500
2021.2,963,1256,83850
2021.3,1229,1581,79700
2021.4,1083,1386,71150
